SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 s),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Carnival Corp.
","Buy
",605000,1.57,"March 20, 2018
",79249,0000093284,N-Q,09
"Centurytel Inc.
","Buy
",395000,0.88,"September 20, 2017
",18565,0000093284,N-Q,09
"Toll Brothers, Inc.
","Buy
",770000,2.9,"March 20, 2013
","(20,820",0000093284,N-Q,09
"Pitney Bowes Inc.
","Buy
",505000,0.48,"March 20, 2013
",14646,0000093284,N-Q,09
"Avalonbay Communities Inc.
","Buy
",375000,3.05,"March 20, 2013
",38999,0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",3316000,1.4,"December 20, 2012
","(279,768",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",4304000,1.55,"June 20, 2013
","(126,244",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",1547000,1.4,"December 20, 2012
","(136,080",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",1474000,1.4,"December 20, 2012
","(127,930",0000093284,N-Q,09
"Sealed Air Corp.
","Buy
",250000,1.08,"March 20, 2018
",57168,0000093284,N-Q,09
"Nordstrom, Inc.
","Buy
",485000,1.15,"March 20, 2018
",102709,0000093284,N-Q,09
"Nordstrom, Inc.
","Buy
",285000,1.07,"March 20, 2018
",61753,0000093284,N-Q,09
