SWAP COUNTERPARTY & REFERENCE OBLIGATION,BUY/SELL PROTECTION,AMOUNT (000 s),PAY/RECEIVE FIXED RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Goldman Sachs Capital Markets, L.P. 
  Dow Jones CDX.NA.IG.HVOL.6 Index",Buy,15900000,0.75,"June 20, 2011",20177,0000716716,N-Q,07
"Goldman Sachs International 
  The Hartford Financial Services Group Inc.",Buy,3900000,0.12,"December 20, 2011",98,0000716716,N-Q,07
"Goldman Sachs International 
  Southwest Airlines Co.",Buy,4000000,0.22,"December 20, 2011",14068,0000716716,N-Q,07
"Goldman Sachs International 
  Motorola, Inc.",Buy,1270000,0.15,"December 20, 2011",14308,0000716716,N-Q,07
"Goldman Sachs International 
  Motorola, Inc.",Buy,2640000,0.157,"December 20, 2011",28966,0000716716,N-Q,07
"Goldman Sachs International 
  Union Pacific Corporation",Buy,1950000,0.2,"December 20, 2011",24196,0000716716,N-Q,07
"Goldman Sachs International 
  Dow Jones CDX.NA.HVOL.",Buy,7850000,0.75,"December 20, 2011",31438,0000716716,N-Q,07
"Goldman Sachs International 
  Chubb Corp.",Buy,3900000,0.1,"March 20, 2012",4017,0000716716,N-Q,07
"Goldman Sachs International
  Dell Inc.",Buy,1960000,0.22,"March 20, 2012",472,0000716716,N-Q,07
"Citigroup Global 
  Tyco International Ltd.",Buy,1200000,0.43,"March 20, 2012",1162,0000716716,N-Q,07
"Citigroup Global 
  Tyco International Ltd.",Buy,2300000,0.43,"March 20, 2012",2226,0000716716,N-Q,07
"Goldman Sachs International
  Gap Inc.",Buy,2360000,1.19,"March 20, 2012","(19,484",0000716716,N-Q,07
"Goldman Sachs International 
  Countrywide Home Loan",Sell,1965000,0.6,"March 20, 2012","(7,988",0000716716,N-Q,07
"Goldman Sachs International 
  Countrywide Home Loan",Sell,2000000,0.66,"March 20, 2012","(2,906",0000716716,N-Q,07
"Goldman Sachs International 
  Residential Capital LL.",Sell,3950000,2.0,"March 20, 2017","(63,350",0000716716,N-Q,07
