CounterParty,Reference Entity,Buy/SellProtection,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount (000 s),CIK,Reporting Type,Report Year
Barclays Bank PLC,"RSHB Capital, 6.299%,5/15/17",Sell,1,9/10,200000,0000742212,N-Q,10
Barclays Bank PLC,"Republic of Korea, 4.25%,6/1/13",Sell,1,3/11,100000,0000742212,N-Q,10
Credit Suisse Group AG,"Brazilian GovernmentInternational Bond, 12.25%,3/6/30",Sell,1,12/10,200000,0000742212,N-Q,10
Goldman Sachs International,"Royal Caribbean Cruises, Ltd.,6.875%, 12/1/13",Buy,(5.00),3/11,1000000,0000742212,N-Q,10
Goldman Sachs International,"Emirate of Abu Dhabi, 5.50%,8/2/12",Sell,1,3/11,200000,0000742212,N-Q,10
Goldman Sachs International,"Brazilian GovernmentInternational Bond, 12.25%,3/6/30",Sell,1,3/11,200000,0000742212,N-Q,10
Goldman Sachs International,"Republic of Korea, 4.25%,6/1/13",Sell,1,3/11,200000,0000742212,N-Q,10
Goldman Sachs International,"Metlife, Inc., 5.00%, 6/15/15",Sell,1,3/15,700000,0000742212,N-Q,10
JPMorgan Chase,"Brazilian GovernmentInternational Bond, 12.25%,3/6/30",Sell,1,12/10,700000,0000742212,N-Q,10
JPMorgan Chase,"Mexico GovernmentInternational Bond, 7.50%,4/8/33",Sell,1,12/10,1300000,0000742212,N-Q,10
"Morgan Stanley Capital Services,","Dow Jones CDX NA HighYield Index, Series 9",Sell,3.75,12/12,4300000,0000742212,N-Q,10
"Morgan Stanley Capital Services,","Philippine GovernmentInternational Bond, 10.625%,3/16/25",Sell,2.44,9/17,100000,0000742212,N-Q,10
UBS AG,"American International Group,Inc., 6.25%, 5/1/36",Sell,5,9/14,100000,0000742212,N-Q,10
UBS AG,"American International Group,Inc., 6.25%, 5/1/36",Sell,5,9/12,300000,0000742212,N-Q,10
