Counterparty,Reference Entity,Buy/Sell,Notional Amount (000s),Fixed Rate,Termination Date,Appreciation/(Depreciation),CIK,Reporting Type,Report Year
"Lehman Brothers, Inc.","Avago
  Technologies,
  Inc.",Sell,5000000,2.1,12/20/10,3496,0000745463,N-Q,08
"Lehman Brothers, Inc.","Crown Americas,
  Inc.",Sell,10000000,2.35,12/21/09,223093,0000745463,N-Q,08
"Lehman Brothers, Inc.","CSG Systems,
  Inc.",Sell,7000000,2.15,9/21/09,112171,0000745463,N-Q,08
"Lehman Brothers, Inc. ","Inergy, L.P",Sell ,6500000,2.2,3/21/10 ,174507,0000745463,N-Q,08
"Lehman Brothers, Inc. ","Inergy, L.P.",Sell ,3000000,2.4,3/21/10 ,92745,0000745463,N-Q,08
"Lehman Brothers, Inc. ","Owens-Illinois,
  Inc.",Sell ,5000000,1.95,9/20/11 ,"(2,238 ",0000745463,N-Q,08
"Lehman Brothers, Inc.","Pinnacle
  Entertainment,
  Inc.",Sell,3000000,2.0,6/21/10,"(95,359",0000745463,N-Q,08
"Lehman Brothers, Inc. ","Pinnacle
  Entertainment,
  Inc.",Sell ,2000000,1.95,9/20/10 ,"(70,946 ",0000745463,N-Q,08
"Lehman Brothers, Inc.","Rural Cellular
  Corp.",Sell,3000000,3.25,6/21/10,189474,0000745463,N-Q,08
"Lehman Brothers, Inc.","Syniverse
  Technologies,
  Inc.",Sell,3000000,1.85,3/21/11,"(96,947",0000745463,N-Q,08
"Lehman Brothers, Inc.","Syniverse
  Technologies,
  Inc.",Sell,3000000,2.3,6/20/11,"(71,150",0000745463,N-Q,08
"Lehman Brothers, Inc.",The Hertz Corp.,Sell,5000000,1.8,3/21/11,"(96,078",0000745463,N-Q,08
