Portfolio  ,Notional  Amount  ,Buy/Sell Protection  ,Fixed Rate  ,Termination  Date  ,(Depreciation)  ,CIK,Reporting Type,Report Year
ACE Limited  ,500000,Buy  ,(0.390)%  ,Jun 2014  ,"$5,374  ",0000756913,N-Q,07
"Alcan, Inc.  ",1200000,Buy  ,(0.140)%  ,Mar 2011  ,1871,0000756913,N-Q,07
"Autozone, Inc.  ",800000,Buy  ,(0.680)%  ,Dec 2012  ,"(2,112)  ",0000756913,N-Q,07
Bellsouth Corporation  ,1000000,Buy  ,(0.325)%  ,Sep 2014  ,25435,0000756913,N-Q,07
Corporation  ,1000000,Buy  ,(0.510)%  ,Jun 2011  ,10218,0000756913,N-Q,07
Corporation  ,400000,Buy  ,(0.620)%  ,Jun 2014  ,"(6,370)  ",0000756913,N-Q,07
"Resources, Ltd.  ",1100000,Buy  ,(0.191)%  ,Sep 2011  ,407,0000756913,N-Q,07
Corporation  ,700000,Buy  ,(0.440)%  ,Sep 2011  ,3656,0000756913,N-Q,07
Corporation  ,900000,Buy  ,(0.440)%  ,Sep 2011  ,(580)  ,0000756913,N-Q,07
CVS Corporation  ,300000,Buy  ,(0.240)%  ,Sep 2011  ,"(2,431)  ",0000756913,N-Q,07
ACE Limited  ,500000,Buy  ,(0.390)%  ,Jun 2014  ,5374,0000756913,N-Q,07
"Alcan, Inc.  ",1200000,Buy  ,(0.140)%  ,Mar 2011  ,1871,0000756913,N-Q,07
Daimlerchrysler AG  ,1000000,Buy  ,(0.350)%  ,Jun 2009  ,940,0000756913,N-Q,07
Daimlerchrysler AG  ,300000,Buy  ,(0.520)%  ,Jun 2010  ,2355,0000756913,N-Q,07
Daimlerchrysler AG  ,400000,Buy  ,(0.620)%  ,Sep 2011  ,8967,0000756913,N-Q,07
IG.3  ,1984000,Sell  ,0.500 %  ,Mar 2010  ,17388,0000756913,N-Q,07
IG.3  ,6944000,Sell  ,0.500 %  ,Mar 2010  ,60859,0000756913,N-Q,07
CDX.NA.IG.7  ,55300000,Buy  ,(0.650)%  ,Dec 2016  ,"(48,498)  ",0000756913,N-Q,07
CDX.NA.IG.7  ,3300000,Buy  ,(0.650)%  ,Dec 2016  ,11232,0000756913,N-Q,07
CDX.NA.IG.7  ,5000000,Buy  ,(0.650)%  ,Dec 2016  ,"(30,553)  ",0000756913,N-Q,07
CDX.NA.IG.7  ,14000000,Buy  ,(0.650)%  ,Dec 2016  ,"(150,912)  ",0000756913,N-Q,07
Exelon Corporation  ,1000000,Buy  ,(0.520)%  ,Jun 2015  ,(16)  ,0000756913,N-Q,07
Inc.  ,300000,Buy  ,(0.190)%  ,Sep 2009  ,"(4,135)  ",0000756913,N-Q,07
of Brazil  ,6600000,Sell  ,1.380 %  ,Aug 2011  ,"(402,580)  ",0000756913,N-Q,07
of Brazil  ,3100000,Sell  ,1.370 %  ,Aug 2011  ,"(184,692)  ",0000756913,N-Q,07
of Brazil  ,4300000,Sell  ,1.350 %  ,Aug 2011  ,107690,0000756913,N-Q,07
of Brazil  ,6300000,Sell  ,1.340 %  ,Aug 2011  ,"(361,935)  ",0000756913,N-Q,07
