Notional Amount,Expiration Date,Counterparty,Receive(Pay),Annual Premium,Deliverable On Default,Appreciation(Depreciation),CIK,Reporting Type,Report Year
10000000,6/6/2013,"Deutsche
  Bank AG",Receive,9.40%,Republic of Brazil,3071347,0000772129,N-CSRS,05
20000000,6/12/2013,"Deutsche
  Bank AG",Receive,9.08%,Republic of Brazil,5747739,0000772129,N-CSRS,05
10000000,12/20/2013,"Deutsche
  Bank AG",Receive,10.50%,Republic of Ecuador,"$ 663,388",0000772129,N-CSRS,05
10000000,12/24/2013,"JP
  Morgan Chase Bank",Receive,3.80%,Republic of Turkey,383569,0000772129,N-CSRS,05
10000000,1/20/2014,"Deutsche
  Bank AG",Receive,4.28%,Republic of Brazil,63853,0000772129,N-CSRS,05
10000000,1/20/2014,"Citibank
  N.A.",Receive,4.94%,Republic of Colombia,1008525,0000772129,N-CSRS,05
10000000,1/20/2014,"Deutsche
  Bank AG",Receive,1.77%,United Mexican States,398596,0000772129,N-CSRS,05
15000000,3/20/2014,"JP
  Morgan Chase Bank",Receive,4.30%,Republic of Brazil,312403,0000772129,N-CSRS,05
5000000,3/20/2014,"JP
  Morgan Chase Bank",Receive,4.32%,Republic of Brazil,110311,0000772129,N-CSRS,05
5000000,3/20/2014,"JP
  Morgan Chase Bank",Receive,4.90%,Republic of Colombia,572355,0000772129,N-CSRS,05
20000000,4/20/2014,"Lehman
  Brothers",Receive,1.58%,United Mexican States,606858,0000772129,N-CSRS,05
20000000,4/20/2014,"Goldman
  Sachs",Receive,1.59%,United Mexican States,621222,0000772129,N-CSRS,05
10000000,5/14/2014,"Deutsche
  Bank AG",Receive,6.64%,Republic of Turkey,2218010,0000772129,N-CSRS,05
5000000,5/19/2014,"Deutsche
  Bank AG",Receive,6.42%,Republic of Turkey,1036510,0000772129,N-CSRS,05
7000000,5/20/2014,"JP
  Morgan Chase Bank",Receive,6.25%,Republic of Turkey,1374095,0000772129,N-CSRS,05
