"
Notional Amount
","
Expiration Date
","
Counterparty
","
Receive(Pay)
","
Annual Premium
",Deliverable On Default,Appreciation(Depreciation),CIK,Reporting Type,Report Year
"
5,000,000
","
12/20/2009
","
Barclays Bank PLC
","
Receive
","
0.30%
","
Boeing Capital Corp.
","
49,592 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Deutsche Bank AG
","
Receive
","
0.21%
","
CitiGroup, Inc.
","
23,900 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Barclays Bank PLC
","
Receive
","
0.82%
","
Clear Channel Communications, Inc.
","
21,742 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Deutsche Bank AG
","
Receive
","
0.66%
","
Daimler-Chrysler AG
","
15,297 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Deutsche Bank AG
","
Receive
","
0.35%
","
The Kroger Co.
","
2,515 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Barclays Bank PLC
","
Receive
","
0.26%
","
Morgan Stanley
","
15,427 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Barclays Bank PLC
","
Receive
","
0.39%
","
SBC Communications, Inc.
","
38,412 
",0000772129,N-CSRS,05
"
5,000,000
","
12/20/2009
","
Barclays Bank PLC
","
Receive
","
0.38%
","
Weyerhaueser Company
","
21,501 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
UBS AG
","
Receive
","
0.36%
","
The Bear Stearns Companies
","
17,998 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.30%
","
Credit Suisse First Boston (USA), Inc.
","
3,245 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
UBS AG
","
Receive
","
0.34%
","
The Goldman Sachs Group, Inc.
","
21,103 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.31%
","
HSBC Finance Corporation
","
34,972 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
UBS AG
","
Receive
","
0.29%
","
JP Morgan Chase & Co.
","
30,152 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.31%
","
Lehman Brothers Holdings, Inc.
","
1,747 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.29%
","
Merrill Lynch & Co., Inc.
","
21,216 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.27%
","
Merrill Lynch & Co., Inc.
","
26,539 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Lehman Brothers
","
Receive
","
0.40%
","
PSEG Power LLC
","
5,051 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Lehman Brothers
","
Receive
","
0.20%
","
Royal Bank of Scotland PLC
","
1,997 
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
UBS AG
","
Receive
","
0.52%
","
TXU Electric Delivery Company
","
(31,876
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2010
","
Barclays Bank PLC
","
Receive
","
0.17%
","
Wachovia Corporation
","
19,193 
",0000772129,N-CSRS,05
"
15,500,000
","
3/20/2015
","
JP Morgan
","
Receive
","
0.70%
","
Reference security within CDX Index
","
(24,723
",0000772129,N-CSRS,05
"
25,000,000
","
3/20/2015
","
JP Morgan
","
Receive
","
0.70%
","
Reference security within CDX Index
","
(39,876
",0000772129,N-CSRS,05
"
10,000,000
","
3/20/2015
","
JP Morgan
","
Receive
","
0.70%
","
Reference security within CDX Index
","
(15,950
",0000772129,N-CSRS,05
"
25,000,000
","
6/20/2015
","
JP Morgan
","
Receive
","
0.65%
","
Reference security within CDX Index
","
(144,013
",0000772129,N-CSRS,05
"
5,000,000
","
6/20/2015
","
Lehman Brothers
","
Receive
","
0.65%
","
Reference security within CDX Index
","
(28,803
",0000772129,N-CSRS,05
"
25,000,000
","
6/20/2015
","
Lehman Brothers
","
Receive
","
0.65%
","
Reference security within CDX Index
","
(144,013
",0000772129,N-CSRS,05
