"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)","
AnnualPremium","
DeliverableOn Default","
Appreciation(Depreciation)",CIK,Reporting Type,Report Year
"
5,000,000 ","
10/22/2007","
JP Morgan Chase Bank ","
(Pay)",0.48,"
Banco Bilbao Vizcaya Argentaria SA ","
$(27,336)",0000772129,N-CSRS,06
"
5,000,000 ","
10/30/2007","
Deutsche Bank AG","
(Pay)",0.44,"
Banco Bilbao Vizcaya Argentaria SA","
(24,795",0000772129,N-CSRS,06
"
10,000,000 ","
11/23/2007","
Deutsche Bank AG","
(Pay)",1.15,"
Endesa SA Spain","
(133,369",0000772129,N-CSRS,06
"
15,000,000 ","
11/27/2007","
JP MorganChase Bank","
(Pay)",1.1,"
Endesa SA Spain","
(188,949",0000772129,N-CSRS,06
"
30,000,000 ","
12/23/2007","
Deutsche Bank AG","
(Pay)",2.35,"
Gazprom Loan Facility","
(874,547",0000772129,N-CSRS,06
"
15,000,000 ","
2/20/2008","
JP Morgan Chase Bank","
(Pay)",1.7,"
Republic of Ecuador","
(118,985",0000772129,N-CSRS,06
"
6,500,000 ","
3/20/2008","
JP MorganChase Bank","
(Pay)",0.44,"
Petroleos Mexicanos","
(7,039",0000772129,N-CSRS,06
"
100,000,000 ","
4/20/2008","
JP MorganChase Bank","
(Pay)",0.32,"
United Mexican States","
(326,180",0000772129,N-CSRS,06
"
50,000,000 ","
5/4/2008","
Deutsche Bank AG","
(Pay)",1.8,"
Government of Ukraine","
(868,950",0000772129,N-CSRS,06
"
5,000,000 ","
5/30/2008","
JP MorganChase Bank","
Receive",8.65,"
Republic of Turkey","
765,163",0000772129,N-CSRS,06
"
2,000,000 ","
9/20/2008","
UBS AG","
Receive",9.2,"
Dominican Republic","
398,593",0000772129,N-CSRS,06
"
10,000,000 ","
9/20/2008","
Morgan StanleyCapital Services, Inc.","
Receive",5.15,"
Republic of Colombia","
1,157,424",0000772129,N-CSRS,06
"
18,000,000 ","
11/20/2008","
Deutsche Bank AG","
Receive",1.5,"
Credit of Uttam Galva","
91,353",0000772129,N-CSRS,06
"
9,000,000 ","
11/20/2008","
Deutsche Bank AG","
Receive",4.77,"
Republic of Colombia","
933,102",0000772129,N-CSRS,06
"
14,000,000 ","
12/20/2008","
Deutsche Bank AG","
(Pay)",0.79,"
Korean DepositInsurance  Corporation","
(220,154",0000772129,N-CSRS,06
"
5,000,000 ","
3/20/2009","
JP MorganChase Bank","
Receive",2.85,"
Republic of Peru","
343,591",0000772129,N-CSRS,06
"
10,000,000 ","
3/20/2009","
JP MorganChase Bank","
Receive",4.3,"
Republic of Philippines","
875,806",0000772129,N-CSRS,06
"
10,000,000 ","
4/17/2009","
Deutsche Bank AG","
Receive",3.9,"
Gazprom Loan Facility","
960,427",0000772129,N-CSRS,06
"
5,000,000 ","
5/20/2009","
JP MorganChase Bank","
Receive",4.4,"
Gazprom Loan Facility","
543,076",0000772129,N-CSRS,06
"
25,000,000 ","
5/21/2009","
UBS AG","
Receive",4.5,"
Gazprom Loan Facility","
2,787,304",0000772129,N-CSRS,06
"
7,000,000 ","
8/5/2009","
Deutsche Bank AG","
Receive",4.85,"
Government of Ukraine","
685,337",0000772129,N-CSRS,06
