Swap counterparty/ Referenced debt* , Rating***,Upfront premium received (paid)** ,Notional Amount,Termination  date ,CIK,Reporting Type,Report Year
CMBX NA BBB  Index,BBB /P,$139,"$39,000",1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,474,111000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,396,111000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,396,111000,1/17/47,0000822671,N-CSRS,16
CMBX NA BB Index,"(1,750)",165000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,"(1,249)",146000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,1877,83000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,(720),75000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,1060,63000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,584,57000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,61,50000,5/11/63,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,(952),92000,1/17/47,(500 bp),0000822671,N-CSRS,16
CMBX NA BB Index,(124),62000,1/17/47,(500 bp),0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,(11),4000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,(371),37000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,423,37000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,(321),40000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,(177),44000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,"(1,100)",66000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,(916),84000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,"(1,555)",155000,5/11/63,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,632,30000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,5092,118000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,4750,118000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,4750,118000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,4988,120000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,4162,139000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,5181,171000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,33012,238000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,23485,243000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,52716,397000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,95907,482000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,6307,114000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,12025,228000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,6065,232000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,23913,243000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,52489,397000,1/17/47,0000822671,N-CSRS,16
CMBX NA BBB  Index,BBB /P,69754,577000,1/17/47,0000822671,N-CSRS,16
