Swap Counterparty and   Reference Obligation,Buy/Sell   Protection,Notional   Amount   (000),Pay/Receive   Fixed Rate,Termination   Date,Upfront   Payment   Paid   (Received)   (000),Unrealized   Depreciation   (000),Value   (000),Credit   Rating of   Reference   Obligation ,CIK,Reporting Type,Report Year
Bank of America NA   People s Republic of China,Buy,880000,1.0,3/20/19,(4000,(2000,(6000,AA-,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,895000,1.0,3/20/19,(23000,(2000,(25000,NR,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,895000,1.0,3/20/19,(3000,(3000,(6000,AA-,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,276000,1.0,3/20/19,(1000,(1000,(2000,AA-,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,276000,1.0,3/20/19,(1000,(1000,(2000,AA-,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,"1,380000",1.0,3/20/19,(36000,(4000,(40000,NR,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,602000,1.0,3/20/19,(15000,(2000,(17000,NR,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,602000,1.0,3/20/19,(2000,(2000,(4000,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,284000,1.0,3/20/19,(1000,(1000,(2000,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,568000,1.0,3/20/19,(2000,(2000,(4000,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,426000,1.0,3/20/19,(2000,(1000,(3000,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,568000,1.0,3/20/19,(2000,(1000,(3000,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,"1,033000",1.0,3/20/19,(3000,(4000,(7000,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,854000,1.0,3/20/19,(23000,(2000,(25000,NR,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,854000,1.0,3/20/19,(3000,(2000,(5000,AA-,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,"1,136000",1.0,3/20/19,(5000,(3000,(8000,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,852000,1.0,3/20/19,(22000,(2000,(24000,NR,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,284000,1.0,3/20/19,(1000,(1000,(2000,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,568000,1.0,3/20/19,(15000,(1000,(16000,NR,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,932000,1.0,3/20/19,(24000,(3000,(27000,NR,0000836487,N-Q,14
