Counterparty,Reference Entity/Obligation,Protection,Fixed Rate (%),Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Credit Suisse International,"Abitibi-Consolidated 8.375%, 04/01/15",Sell,0.65,03/20/08,2000000,"(82,531)",0000837276,N-Q,07
Barclays Bank PLC,"Allied Waste N.A. 7.375%, 04/15/14",Sell,2.03,06/20/12,500000,"(12,950)",0000837276,N-Q,07
Morgan Stanley Capital Services Inc.,"Allied Waste N.A. 7.375%, 04/15/14",Buy,(1.120),06/20/10,1500000,25935,0000837276,N-Q,07
Morgan Stanley Capital Services Inc.,"Allied Waste N.A. 7.375%, 04/15/14",Sell,2.02,06/20/12,1000000,"(26,300)",0000837276,N-Q,07
Morgan Stanley Capital Services Inc.,"Aramark Corp. 8.500%, 02/01/15",Sell,2.68,09/20/12,150000,"(5,222)",0000837276,N-Q,07
Barclays Bank PLC,CDX.NA.HY.8 Index (25-35% Tranche),Sell,3.223,06/20/12,4650000,285190,0000837276,N-Q,07
"Citibank N.A., New York",CDX.NA.HY.8 Index (25-35% Tranche),Sell,2.105,06/20/12,900000,12981,0000837276,N-Q,07
"Citibank N.A., New York",CDX.NA.HY.8 Index (25-35% Tranche),Sell,2.088,06/20/12,200000,2742,0000837276,N-Q,07
Deutsche Bank AG,CDX.NA.HY.8 Index (25-35% Tranche),Sell,3.3,06/20/12,2000000,129213,0000837276,N-Q,07
Merrill Lynch International,CDX.NA.HY.8 Index (25-35% Tranche),Sell,2.127,06/20/12,400000,6139,0000837276,N-Q,07
Merrill Lynch International,CDX.NA.HY.8 Index (25-35% Tranche),Sell,1.847,06/20/12,750000,2692,0000837276,N-Q,07
Merrill Lynch International,CDX.NA.HY.8 Index (25-35% Tranche),Sell,1.833,06/20/12,750000,2251,0000837276,N-Q,07
Merrill Lynch International,CDX.NA.HY.8 Index (25-35% Tranche),Sell,3.553,06/20/12,5000000,376156,0000837276,N-Q,07
Morgan Stanley Capital Services Inc.,CDX.NA.HY.8 Index (25-35% Tranche),Sell,2.11,06/20/12,1400000,20487,0000837276,N-Q,07
Lehman Brothers Special Financing Inc.,"Celestica Inc. 7.625%, 07/01/13",Sell,4.25,09/20/12,500000,"(4,741)",0000837276,N-Q,07
