Counterparty,"Reference
  Entity/Obligation",Protection,Rate (%),Date,Amount (4),Value (5),(Received),(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,CDX.EM.12 Index,Sell,5.0,12/20/14,1400000,163062,131160,31902,0000837276,N-Q,10
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,200000,24840,24774,66,0000837276,N-Q,10
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,300000,37259,37701,(442),0000837276,N-Q,10
"Goldman Sachs
  International",CDX.EM.13 Index,Sell,5.0,06/20/15,100000,12420,12617,(197),0000837276,N-Q,10
Goldman Sachs International,CDX.EM.13 Index,Sell,5.0,06/20/15,100000,12420,12337,83,0000837276,N-Q,10
"Citibank N.A., New York","CDX.NA.HY.8 Index
  (35-100% Tranche)",Sell,0.355,06/20/12,5777640,3231,3231,,0000837276,N-Q,10
Deutsche Bank AG,"CDX.NA.IG.10 Index
  (30-100% Tranche)",Sell,0.53,06/20/13,2989946,38988,38988,,0000837276,N-Q,10
"Goldman Sachs
  International","CDX.NA.IG.10 Index
  (30-100% Tranche)",Sell,0.463,06/20/13,3761546,41052,41052,,0000837276,N-Q,10
Barclays Bank PLC,"CDX.NA.IG.9 Index
  (30-100% Tranche)",Sell,0.758,12/20/12,19868677,343789,343789,,0000837276,N-Q,10
Deutsche Bank AG,"CDX.NA.IG.9 Index
  (30-100% Tranche)",Sell,0.705,12/20/12,13117185,208464,208464,,0000837276,N-Q,10
"Goldman Sachs
  International","CDX.NA.IG.9 Index
  (30-100% Tranche)",Sell,0.5479999999999999,12/20/17,2218347,32992,32992,,0000837276,N-Q,10
