Reference Entity,Counterparty,Buy/Sell Credit Protection,Notional Amount(000 s),Receive Fixed Rate,Payment Termination Date,CIK,Reporting Type,Report Year
Amgen Inc.,Goldman Sachs International,Buy,13530000,1,3/20/15,0000850134,N-CSRS,10
"Baxter International, Inc.",Deutsche Bank AG,Buy,13450000,1,3/20/15,0000850134,N-CSRS,10
CBS Corp.,Credit Suisse International,Sell,13530000,1,3/20/15,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Barclays Bank plc,Sell,31982000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Barclays Bank plc,Sell,13068000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Barclays Bank plc,Sell,13068000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:","Citibank NA, New York",Sell,9207000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:","Citibank NA, New York",Sell,12375000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:","Citibank NA, New York",Sell,12375000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Goldman Sachs International,Sell,19191000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Goldman Sachs International,Sell,31982000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:","JPMorgan Chase Bank NA, NY Branch",Sell,6930000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:","JPMorgan Chase Bank NA, NY Branch",Sell,13068000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Morgan Stanley & Co. International Ltd.,Sell,12375000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Morgan Stanley & Co. International Ltd.,Sell,13068000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",Morgan Stanley & Co. International Ltd.,Sell,12900000,5,12/20/14,0000850134,N-CSRS,10
"CDX North America High Yield Index, Series 13:",UBS AG,Sell,12375000,5,12/20/14,0000850134,N-CSRS,10
CVS Caremark Corp.,"Citibank NA, New York",Buy,13380000,1,3/20/15,0000850134,N-CSRS,10
