  Notional Amount(1)  ,  Expiration  Date,Description,Net UnrealizedAppreciation /(Depreciation)(2),CIK,Reporting Type,Report Year
"$        5,000,000",10/15/48,"Agreement with Bear Stearns., dated 11/28/06 to receive monthly the notional amount multiplied by 0.75% and pay in the event of a write down, failure to pay a principal payment or an interest
shortfall on WBCMT 2006-C28J.","(4,498,546)  ",0000851169,N-Q,09
2500000,09/11/42,"Agreement with Bear Stearns, dated 11/02/05 to receive monthly the notional amount multiplied by 2.10% and pay in the event of a write down, failure to pay a principal payment or an interest
shortfall on BSCMS 2005-PWR9K.","(2,242,549)  ",0000851169,N-Q,09
5000000,10/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and pay in the event of a write down, failure to pay a principal payment or an
interest shortfall on BSCMS 2006-T24H.","(4,353,232)  ",0000851169,N-Q,09
5000000,08/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and pay in the event of a write down, failure to pay a principal payment or an
interest shortfall on MSC 2006-T23H.","(4,214,681)  ",0000851169,N-Q,09
5000000,02/15/39,"Agreement with Royal Bank of Scotland, dated 08/11/06 to receive monthly the notional amount multiplied by 1.08% and pay in the event of a write down, failure to pay a principal payment or an
interest shortfall on CSMC 2006 C1K.","(3,997,150)  ",0000851169,N-Q,09
"$        5,000,000",08/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or failure to pay a principal payment or
an interest shortfall on MSC 2006-T23 H.",Net UnrealizedAppreciation /(Depreciation)(2),0000851169,N-Q,09
5000000,10/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or failure to pay a principal payment or
an interest shortfall on BSCMS 2006-T24 H.","(4,214,681)  ",0000851169,N-Q,09
5000000,02/11/44,"Agreement with Bear Stearns, dated 06/01/07 to receive monthly the notional amount multiplied by 2.35% and to pay only in the event of a write down, or failure to pay a principal payment or an
interest shortfall on BSCMS 2007-PW15 H.","(4,353,232)  ",0000851169,N-Q,09
5000000,10/15/48,"Agreement with Bear Stearns, dated 11/28/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or
failure to pay a principal payment or an interest shortfall on WBCMT 2006-C28 J.","(4,543,821)  ",0000851169,N-Q,09
,,,"(4,498,546)  ",0000851169,N-Q,09
