Underlying Instrument,Counterparty,Amount($),Fixed Rate (%) ,Date,Value($),CIK,Reporting Type,Report Year
"North America High Yield CDX Indices, Series 12",JPMorgan,6305,5,06/20/14,996,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",JPMorgan,4113,5,06/20/14,650,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,4280,5,06/20/14,676,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,6305,5,06/20/14,996,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 12",Credit Suisse First Boston,4302,5,06/20/14,679,0000883939,N-Q,09
Barclays 23 MM CDX Indices,Barclays Bank PLC,4435,5,06/20/14,701,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,3985,5,06/20/14,(179,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",JPMorgan,4270,5,06/20/14,(192,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,500,5,06/20/14,(22,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,250,5,06/20/14,(11,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 11",Barclays Bank PLC,4555,5,06/20/14,(205,0000883939,N-Q,09
