Underlying Instrument,Counterparty,Amount($),Rate(%),Date($),Value($),CIK,Reporting Type,Report Year
Dow Jones CDX Indices; Series 7,Merrill Lynch,"3,705",0.63,12/20/16,77,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Bank of America,"1,860",0.6,06/20/17,82,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Credit Suisse First Boston,"1,270",0.65,12/20/16,33,0000883939,N-Q,08
Dow Jones CDX Indices; Series 7,Merrill Lynch,790,0.6,06/20/17,37,0000883939,N-Q,08
North America High Yield Index; Series 8,Merrill Lynch,"12,885",2.75,06/20/12,(386,0000883939,N-Q,08
"Bear Stearns, Inc. (The)",JPMorgan,(620,1.29,09/20/17,9,0000883939,N-Q,08
Brunswick Corp.,Merrill Lynch,(500,1.2,03/20/17,,0000883939,N-Q,08
Brunswick Corp.,Merrill Lynch,(120,1.15,03/20/17,,0000883939,N-Q,08
Carnival Corp.,JPMorgan,(790,0.7,09/20/17,(2,0000883939,N-Q,08
Centex Corp.,Credit Suisse First Boston,(620,2.65,09/20/17,19,0000883939,N-Q,08
Dow Chemical Co.,Barclays Bank PLC,(620,0.67,09/20/17,(7,0000883939,N-Q,08
Gannett Co.,Citibank N.A.,(500,0.83,06/20/17,9,0000883939,N-Q,08
Gannett Co.,Citibank N.A.,(120,0.81,06/20/17,,0000883939,N-Q,08
"Istar Financial, Inc.",Citibank N.A.,(500,0.88,03/20/17,63,0000883939,N-Q,08
"Istar Financial, Inc.",Citibank N.A.,(120,0.7,03/20/17,16,0000883939,N-Q,08
"MBIA, Inc.",Credit Suisse First Boston,(620,1.35,09/20/17,104,0000883939,N-Q,08
"MBIA, Inc.",Bank of America,(635,0.88,09/20/17,123,0000883939,N-Q,08
Wells Fargo & Co.,JPMorgan,(500,0.19,06/20/17,16,0000883939,N-Q,08
Wells Fargo & Co.,JPMorgan,(120,0.22,06/20/17,,0000883939,N-Q,08
Weyerhaeuser Co.,Citibank N.A.,(500,0.98,03/20/17,,0000883939,N-Q,08
Weyerhaeuser Co.,Citibank N.A.,(120,1.05,03/20/17,,0000883939,N-Q,08
"Yum Brands, Inc.",Barclays Bank PLC,(620,1.06,09/20/17,(10,0000883939,N-Q,08
