Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
Austria,UBS AG,"22,640",0.54,11/20/13,733,0000883939,N-Q,09
"Berkshire Hathaway, Inc.",Citibank N.A.,"(2,400",5.0,12/20/13,168,0000883939,N-Q,09
Brunswick Corp.,Credit Suisse First Boston,"(1,680",3.95,12/20/13,565,0000883939,N-Q,09
Brunswick Corp.,Merrill Lynch,(500,1.2,03/20/17,216,0000883939,N-Q,09
Brunswick Corp.,Merrill Lynch,(120,1.15,03/20/17,52,0000883939,N-Q,09
Capital One Financial Corp.,Citibank N.A.,(885,1.65,06/20/13,,0000883939,N-Q,09
Capital One Financial Corp.,Citibank N.A.,"(1,415",3.1,09/20/13,(76,0000883939,N-Q,09
Centex Corp.,Merrill Lynch,"(1,680",5.05,09/20/13,(46,0000883939,N-Q,09
Centex Corp.,Credit Suisse First Boston,(620,2.65,09/20/17,40,0000883939,N-Q,09
Denmark,Barclays Bank PLC,"4,945",0.63,12/20/13,119,0000883939,N-Q,09
FedEx Corp.,Credit Suisse First Boston,"(2,300",1.07,09/20/13,132,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Citibank N.A.,"6,185",3.35,12/20/13,939,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Barclays Bank PLC,"5,970",3.35,12/20/13,906,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",JPMorgan,"4,445",3.35,12/20/13,675,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Credit Suisse First Boston,"4,445",3.35,12/20/13,675,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Merrill Lynch,"4,445",3.35,12/20/13,675,0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Citibank N.A.,"11,110",3.35,12/20/13,"1,686",0000883939,N-Q,09
"Emerging Markets CDX Indicies, Series 10",Credit Suisse First Boston,"4,580",3.35,12/20/13,695,0000883939,N-Q,09
"Gannett Co., Inc.",Credit Suisse First Boston,"(1,680",3.15,09/20/13,299,0000883939,N-Q,09
"Gannett Co., Inc.",Citibank N.A.,(500,0.83,06/20/17,159,0000883939,N-Q,09
"Gannett Co., Inc.",Citibank N.A.,(120,0.81,06/20/17,38,0000883939,N-Q,09
"Marriott International, Inc.",Credit Suisse First Boston,"(2,300",2.62,09/20/13,235,0000883939,N-Q,09
Masco Corp.,Merrill Lynch,"(1,560",2.2,06/20/13,149,0000883939,N-Q,09
Masco Corp.,Merrill Lynch,(740,3.25,09/20/13,43,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,"(11,290",5.0,12/20/13,"(2,268",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Merrill Lynch,"(11,290",5.0,12/20/13,"(2,268",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,"(11,290",5.0,12/20/13,"(2,268",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Merrill Lynch,"(11,290",5.0,12/20/13,"(2,268",0000883939,N-Q,09
"Simon Property Group, Inc.",Credit Suisse First Boston,"(2,300",1.64,09/20/13,437,0000883939,N-Q,09
Sweden,Barclays Bank PLC,"4,940",0.55,12/20/13,130,0000883939,N-Q,09
"Toll Brothers, Inc.",Merrill Lynch,"(1,560",2.65,06/20/13,(31,0000883939,N-Q,09
"Toll Brothers, Inc.",Merrill Lynch,(740,2.95,09/20/13,(25,0000883939,N-Q,09
United Kingdom,Credit Suisse First Boston,"4,945",0.73,12/20/13,69,0000883939,N-Q,09
