Counterparty (Issuer) ,Reference Entity ,Fixed Rate ,Date ,CIK,Reporting Type,Report Year
Bank of America NA ,Spanish Government Bond; ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Bank of America NA ,UK GILT; 4.25%; ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Bank of America NA ,United Mexican States; ,1.00% ,03/20/2021 ,0000898745,N-Q,11
Bank of America NA ,United Mexican States; ,1.00% ,06/20/2021 ,0000898745,N-Q,11
Bank of America NA ,United Mexican States; ,1.00% ,09/20/2015 ,0000898745,N-Q,11
Barclays Bank PLC ,France (Govt of) OAT BD; ,0.25% ,03/20/2016 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Brazil Global ,1.00% ,06/20/2015 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Brazil Global ,1.00% ,12/20/2015 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Indonesia 144A ,1.00% ,06/20/2021 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Indonesia 144A ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Indonesia 144A ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Barclays Bank PLC ,Republic of Italy Global ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Barclays Bank PLC ,United Mexican States; ,1.00% ,03/20/2015 ,0000898745,N-Q,11
BNP Paribas ,CDX.IG.16.5Y ,1.00% ,06/20/2016 ,0000898745,N-Q,11
BNP Paribas ,U S Treasury Note; 4.88%; ,0.25% ,03/20/2016 ,0000898745,N-Q,11
Citibank NA ,Berkshire Hathaway Finance ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Citibank NA ,Republic of Brazil Global ,1.00% ,06/20/2015 ,0000898745,N-Q,11
Citibank NA ,Republic of Brazil Global ,1.00% ,09/20/2015 ,0000898745,N-Q,11
Citibank NA ,Republic of Brazil Global ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Citibank NA ,Republic of Brazil Global ,1.00% ,03/20/2021 ,0000898745,N-Q,11
Citibank NA ,Republic of Indonesia 144A ,1.00% ,06/20/2021 ,0000898745,N-Q,11
Citibank NA ,Russian Federation Bond; ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Citibank NA ,Spanish Government Bond; ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Citibank NA ,United Mexican States; ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Citibank NA ,United Mexican States; ,1.00% ,03/20/2015 ,0000898745,N-Q,11
Citibank NA ,United Mexican States; ,1.00% ,09/20/2015 ,0000898745,N-Q,11
Deutsche Bank AG ,Arab Republic of Egypt; ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Deutsche Bank AG ,CDX.IG.16.5Y ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Deutsche Bank AG ,France (Govt of) OAT BD; ,0.25% ,03/20/2016 ,0000898745,N-Q,11
Deutsche Bank AG ,General Electric Capital ,4.75% ,12/20/2013 ,0000898745,N-Q,11
Deutsche Bank AG ,General Electric Capital ,4.30% ,12/20/2013 ,0000898745,N-Q,11
Deutsche Bank AG ,General Electric Capital ,4.23% ,12/20/2013 ,0000898745,N-Q,11
Deutsche Bank AG ,General Electric Capital ,4.90% ,12/20/2013 ,0000898745,N-Q,11
Deutsche Bank AG ,Japanese Government Bond ,1.00% ,03/20/2015 ,0000898745,N-Q,11
