Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date","Unrealized
  Appreciation
  (Depreciation)
  (000)",CIK,Reporting Type,Report Year
"Carnival Corp., 6.65%, 1/15/28",Buy,490000,1.57,3/20/18,(9000,0000912734,N-Q,08
"Goodrich Corp., 7.63%, 12/15/12",Buy,240000,0.82,3/20/18,(4000,0000912734,N-Q,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,220000,1.38,3/20/13,(3000,0000912734,N-Q,08
"Toll Brothers Finance Corp., 6.88%,
  11/15/12",Buy,410000,2.9,3/20/13,(8000,0000912734,N-Q,08
"Arrow Electronics, Inc., 6.88%, 6/1/18",Buy,515000,1.0,3/20/15,(10000,0000912734,N-Q,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,720000,1.35,3/20/13,(11000,0000912734,N-Q,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,255000,1.34,3/20/13,(4000,0000912734,N-Q,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,150000,0.5,3/20/18,  @000,0000912734,N-Q,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,65000,0.6,3/20/18,  @000,0000912734,N-Q,08
"AvalonBay Communities, Inc., 6.13%,
  11/1/12",Buy,740000,2.2,6/20/13,  @000,0000912734,N-Q,08
"Coca-Cola Enterprises, Inc., 6.13%,
  8/15/11",Buy,825000,0.59,3/20/13,(4000,0000912734,N-Q,08
"Eaton Corp., 7.65%, 11/15/29",Buy,"1,240000",0.97,3/20/18,18000,0000912734,N-Q,08
"Goodrich Corp., 7.63%, 12/15/12",Buy,235000,0.47,3/20/18,nan000,0000912734,N-Q,08
"Prologis, 5.50%, 3/1/13",Buy,235000,2.97,6/20/13,15000,0000912734,N-Q,08
"Sealed Air Corp., 5.63%, 7/15/13",Buy,140000,1.24,3/20/18,nan000,0000912734,N-Q,08
"Interpublic Group of Cos., Inc.",Buy,255000,3.6,9/20/13,11000,0000912734,N-Q,08
"Nordstrom, Inc., 6.95%, 3/15/28",Buy,255000,1.15,3/20/18,nan000,0000912734,N-Q,08
"SLM Corp., 5.13%, 8/27/12",Buy,235000,4.95,3/20/13,(61000,0000912734,N-Q,08
Qwest Capital Funding,Sell,210000,3.25,12/20/12,(22000,0000912734,N-Q,08
"Carnival Corp., 6.65%, 1/15/28",Buy,265000,1.6,3/20/18,(5000,0000912734,N-Q,08
"Eaton Corp., 7.65%, 11/15/29",Buy,290000,0.92,3/20/18,nan000,0000912734,N-Q,08
"SLM Corp., 5.13%, 8/27/12",Buy,235000,5.0,3/20/13,(61000,0000912734,N-Q,08
"Walt Disney Co. (The), 5.63%, 9/15/16",Buy,"1,225000",0.77,3/20/13,(18000,0000912734,N-Q,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,280000,0.5,3/20/13,  @000,0000912734,N-Q,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,180000,0.6,3/20/18,  @000,0000912734,N-Q,08
"Martin Marietta Materials, Inc., 6.88%,
  4/1/11",Buy,130000,1.73,3/20/18,nan000,0000912734,N-Q,08
"Martin Marietta Materials, Inc., 6.88%,
  4/1/11",Buy,195000,1.78,3/20/13,nan000,0000912734,N-Q,08
"Toll Brothers Finance Corp., 6.88%,
  11/15/12",Buy,635000,2.9,3/20/13,(12000,0000912734,N-Q,08
