Counterparty,NotionalAmount,ExpirationDate,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
Barclays Bank PLC,"10,900,000",9/20/19,1.000%,Russia Federate(PIMCO Rating: BAA+)****,"  (61,813","(640,601","(702,414",0000916053,N-Q,14
Barclays Bank PLC,"400,000",9/20/19,1.000%,Italian Government(PIMCO Rating: BAA)****,823,-,823,0000916053,N-Q,14
Credit Suisse International,"6,100,000",6/20/16,1.000%,Federative Republic of Brazil(PIMCO Rating: BAA)****,"25,782","(8,878","16,904",0000916053,N-Q,14
Goldman Sachs Bank USA,"2,500,000",6/20/17,1.000%,Italian Government(PIMCO Rating: BAA)****,"10,618","14,241","24,859",0000916053,N-Q,14
Goldman Sachs International,"7,700,000",12/20/15,1.000%,United Mexican States(PIMCO Rating: A-)****,"269,107","(207,341","61,766",0000916053,N-Q,14
Goldman Sachs International,"4,300,000",3/20/16,1.000%,United Mexican States(PIMCO Rating: A-)****,"170,090","(132,765","37,325",0000916053,N-Q,14
Goldman Sachs International,"1,300,000",9/20/16,1.000%,United Mexican States(PIMCO Rating: A-)****,"18,999","(6,020","12,979",0000916053,N-Q,14
Goldman Sachs International,"1,400,000",6/20/19,1.000%,Italian Government(PIMCO Rating: BAA)****,"11,174","(6,383","4,791",0000916053,N-Q,14
Goldman Sachs International,"7,300,000",9/20/19,United Mexican States(PIMCO Rating: A-)****,"(18,778","53,453","34,675",,0000916053,N-Q,14
JP Morgan Chase Bank,"400,000",9/20/16,1.000%,United Mexican States(PIMCO Rating: A-)****,"1,688","2,306","3,994",0000916053,N-Q,14
UBS AG,"1,000,000",9/20/15,1.000%,United Mexican States,"20,537","(14,146","6,391",0000916053,N-Q,14
UBS AG,"5,400,000",9/20/16,1.000%,United Mexican States(PIMCO Rating: A-)****,"77,610","(23,694","53,916",0000916053,N-Q,14
"8,900,000",6/20/19,1.000%,CDX.NA.IG.22 ,"(4,543","147,352","142,809",,0000916053,N-Q,14
