Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date","Unrealized
  Appreciation
  (Depreciation)
  (000)",CIK,Reporting Type,Report Year
Bank of America,Buy,95000,1.57,3/20/18,(1000,0000921187,N-Q,08
Bank of America,Buy,60000,0.7,3/20/13,(1000,0000921187,N-Q,08
Bank of America,Buy,45000,0.82,3/20/18,(1000,0000921187,N-Q,08
Bank of America,Buy,60000,1.03,3/18/20,nan000,0000921187,N-Q,08
Bank of America,Buy,140000,1.38,3/20/13,(@ 000,0000921187,N-Q,08
Bank of America,Buy,30000,1.08,3/20/18,nan000,0000921187,N-Q,08
Bank of America,Buy,40000,1.12,3/20/18,nan000,0000921187,N-Q,08
Bank of America,Buy,75000,0.8,3/20/18,nan000,0000921187,N-Q,08
Bank of America,Buy,80000,2.9,3/20/13,@ 000,0000921187,N-Q,08
Bank of America,Buy,40000,2.25,3/20/18,@ 000,0000921187,N-Q,08
Citigroup,Buy,120000,0.82,3/20/18,nan000,0000921187,N-Q,08
Citigroup,Buy,75000,0.62,3/20/13,nan000,0000921187,N-Q,08
Citigroup,Buy,50000,0.72,3/20/13,@ 000,0000921187,N-Q,08
Credit Suisse,Buy,90000,0.18,7/25/45,(4000,0000921187,N-Q,08
Credit Suisse,Buy,125000,1.11,3/20/13,(1000,0000921187,N-Q,08
Credit Suisse,Buy,100000,1.0,3/20/15,@ 000,0000921187,N-Q,08
Credit Suisse,Buy,80000,1.05,3/20/13,nan000,0000921187,N-Q,08
Credit Suisse,Buy,150000,1.4,3/20/13,nan000,0000921187,N-Q,08
Credit Suisse,Buy,140000,1.35,3/20/13,(@ 000,0000921187,N-Q,08
Credit Suisse,Buy,45000,8.1,3/20/13,(2000,0000921187,N-Q,08
Deutsche Bank,Buy,85000,5.0,6/20/13,(1000,0000921187,N-Q,08
Deutsche Bank,Buy,40000,1.34,3/20/13,@ 000,0000921187,N-Q,08
Deutsche Bank,Buy,55000,8.15,3/20/13,(4000,0000921187,N-Q,08
Goldman Sachs,Buy,30000,0.5,3/20/18,@ 000,0000921187,N-Q,08
Goldman Sachs,Buy,15000,0.6,3/20/18,@ 000,0000921187,N-Q,08
