NotionalAmount,Expiration Date,Counterparty,Buy/SellProtection,Receive(Pay) FixedRate,Deliverable on Default,Net UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
300000,3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(9,405",0000927972,N-CSRS,09
1050000,6/20/17,Barclays Bank PLC,Buy,(0.850)%,Sara Lee Corp.,"(28,405",0000927972,N-CSRS,09
900000,3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(28,215",0000927972,N-CSRS,09
1250000,12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",48,0000927972,N-CSRS,09
400000,3/20/14,Barclays Bank PLC,Buy,(3.350)%,Southwest Airlines Co.,"(15,412",0000927972,N-CSRS,09
225000,9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,65321,0000927972,N-CSRS,09
650000,6/20/14,Goldman Sachs & Co.,Buy,(1.000)%,"Pitney Bowes, Inc.","(4,376",0000927972,N-CSRS,09
2737500,3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(85,820",0000927972,N-CSRS,09
912500,3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(28,606",0000927972,N-CSRS,09
3800000,12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",145,0000927972,N-CSRS,09
3300000,6/20/17,Barclays Bank PLC,Buy,(0.850)%,Sara Lee Corp.,"(89,274",0000927972,N-CSRS,09
1500000,3/20/14,Barclays Bank PLC,Buy,(3.350)%,Southwest Airlines Co.,"(57,794",0000927972,N-CSRS,09
4020000,6/20/16,Credit Suisse Securities LLC,Buy,(0.580)%,"Marriot International, Inc.",352595,0000927972,N-CSRS,09
825000,9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,239510,0000927972,N-CSRS,09
2200000,6/20/14,Goldman Sachs & Co.,Buy,(1.000)%,"Pitney Bowes, Inc.","(14,812",0000927972,N-CSRS,09
200000,9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,58063,0000927972,N-CSRS,09
1125000,6/20/16,Credit Suisse Securities LLC,Buy,(0.580)%,"Marriot International, Inc.",98674,0000927972,N-CSRS,09
237500,3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(7,446",0000927972,N-CSRS,09
800000,12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",31,0000927972,N-CSRS,09
