NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
1750000,10/12/52,Bank of America N.A.,Buy,(0.100,CMBX.NA.AAA.1,"(41,869",84219,42350,0000927972,N-CSRS,11
6575000,10/12/52,Bank of America N.A.,Buy,(0.500,CMBX.NA.AM.1,"(251,822",526000,274178,0000927972,N-CSRS,11
325000,6/20/14,Barclays Bank PLC,Buy,(1.000,Centex Corp.,"(1,169",6019,4850,0000927972,N-CSRS,11
600000,6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,1118,35571,36689,0000927972,N-CSRS,11
600000,6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,"(1,399",38088,36689,0000927972,N-CSRS,11
600000,6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,"(4,965",41653,36688,0000927972,N-CSRS,11
469483,7/25/45,Credit Suisse Securities LLC,Buy,(0.180,ABX.HE.AAA.06-1,"(6,059",48124,42065,0000927972,N-CSRS,11
1500000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(113,700",150000,36300,0000927972,N-CSRS,11
5100000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(369,705",493125,123420,0000927972,N-CSRS,11
1075000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(43,860",69875,26015,0000927972,N-CSRS,11
2000000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(46,600",95000,48400,0000927972,N-CSRS,11
