Counterparty,NotionalAmount,ExpirationDate,Receive (Pay)Fixed Rate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
Goldman Sachs International,6460000,6/20/21,(1.000%),CDX.NA.IG.26,"(23,500","(47,211","(70,711",0000927972,N-Q,16
Goldman Sachs International,1500000,11/17/45,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,"(111,858",924,"(110,934",0000927972,N-Q,16
Goldman Sachs International,1120000,5/11/63,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,14161,"(96,992","(82,831",0000927972,N-Q,16
Goldman Sachs International,400000,5/11/63,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,2465,"(32,048","(29,583",0000927972,N-Q,16
Goldman Sachs International,510000,6/20/21,(1.000%),CDX.NA.IG.26,"(1,855","(3,727","(5,582",0000927972,N-Q,16
Goldman Sachs International,1220000,11/17/45,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,"(90,978",752,"(90,226",0000927972,N-Q,16
JP Morgan Chase Bank,520000,11/17/45,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,"(39,098",640,"(38,458",0000927972,N-Q,16
Goldman Sachs International,730000,5/11/63,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,9230,"(63,218","(53,988",0000927972,N-Q,16
Goldman Sachs International,260000,5/11/63,3.000%,CMBX.NA.BBB-.6 (Rating: BBB-) ,1602,"(20,831","(19,229",0000927972,N-Q,16
Goldman Sachs International,6500000,10/13/17,1.125%,USA-CPI-U,30399,-,30399,0000927972,N-Q,16
Bank of America N.A.,9000000,11/06/17,1.275%,USA-CPI-U,34592,-,34592,0000927972,N-Q,16
