Counterparty,Reference Obligation,Spread 3,Pay Rate 6,Date,"Amount 4, 5",CIK,Reporting Type,Report Year
DUB,CDX.NA.IG.15,1.06,1.0,12/20/2015,"(23,000",0000933691,N-Q,10
DUB,"Metlife Inc., 5.00%, 06/15/15",3.28,1.0,03/20/2015,"(2,000",0000933691,N-Q,10
DUB,"Metlife Inc., 5.00%, 06/15/15",2.18,1.0,09/20/2015,"(1,000",0000933691,N-Q,10
JPM,"Prudential Financial Inc., 4.50%, 07/15/13",1.95,1.0,06/20/2015,(825,0000933691,N-Q,10
DUB,"American International Group Inc., 6.25%, 05/01/36",1.85,5.0,12/20/2013,"(8,300",0000933691,N-Q,10
DUB,"Federated Republic of Brazil, 12.25%, 03/06/30",1.41,1.0,06/20/2020,"(4,200",0000933691,N-Q,10
JPM,"Federated Republic of Brazil, 12.25%, 03/06/30",1.41,1.0,06/20/2015,"(1,600",0000933691,N-Q,10
BOA,"French Republic, 4.25%, 04/25/19",0.76,0.25,06/20/2015,"(2,800",0000933691,N-Q,10
DUB,"French Republic, 4.25%, 04/25/19",0.76,0.25,06/20/2015,"(1,100",0000933691,N-Q,10
JPM,"French Republic, 4.25%, 04/25/19",0.76,0.25,06/20/2015,"(1,700",0000933691,N-Q,10
DUB,"ING N.V., 4.00%, 09/18/13",1.66,1.4,06/20/2011,"(2,700",0000933691,N-Q,10
DUB,"Petrobras International Finance Co., 8.38%, 12/10/18",1.24,1.0,09/20/2012,(500,0000933691,N-Q,10
BOA,"Republic of Italy, 6.88%, 09/27/23",1.58,1.0,06/20/2011,(300,0000933691,N-Q,10
DUB,"Republic of Italy, 6.88%, 09/27/23",1.94,1.0,06/20/2015,(400,0000933691,N-Q,10
BOA,"UK Gilt Treasury Bond, 4.25%, 06/07/32",0.61,1.0,06/20/2015,"(2,900",0000933691,N-Q,10
DUB,"UK Gilt Treasury Bond, 4.25%, 06/07/32",0.61,1.0,06/20/2015,"(1,100",0000933691,N-Q,10
DUB,"UK Gilt Treasury Bond, 4.25%, 06/07/32",0.61,1.0,06/20/2015,"(2,700",0000933691,N-Q,10
CIT,"GATX Corp., 5.80%, 03/01/16",,1.07,03/20/2016,1000,0000933691,N-Q,10
BNP,"International Lease Finance Corporation, 6.63%, 11/15/13",,1.6,12/20/2013,500,0000933691,N-Q,10
DUB,"Knight, Inc., 6.50%, 09/01/12",,1.0,03/20/2016,2000,0000933691,N-Q,10
MSS,"Knight, Inc., 6.50%, 09/01/12",,1.0,03/20/2016,3000,0000933691,N-Q,10
DUB,"Macy's Corp., 7.45%, 07/15/17",,2.1,09/20/2017,1000,0000933691,N-Q,10
DUB,"Marsh & McLennan Companies, Inc., 5.75%, 09/15/15",,0.6,09/20/2015,1000,0000933691,N-Q,10
JPM,"Pearson, 5.70%, 06/01/14",,0.83,06/20/2014,1000,0000933691,N-Q,10
BBP,"REXAM PLC, 6.75%, 06/01/13",,1.45,06/20/2013,700,0000933691,N-Q,10
DUB,"Seagate Technology HDD Holdings, 6.80%, 10/01/16",,1.0,12/20/2011,5000,0000933691,N-Q,10
DUB,CDX.EM-12,2.25,5.0,12/20/2014,"(1,500",0000933691,N-Q,10
DUB,CDX.EM-13,2.2,5.0,06/20/2015,"(12,500",0000933691,N-Q,10
MSS,CDX.EM.13,2.2,5.0,06/20/2015,"(4,100",0000933691,N-Q,10
DUB,CDX.EM.14,2.24,5.0,12/20/2015,"(5,800",0000933691,N-Q,10
MSS,CDX.EM.14,2.24,5.0,12/20/2015,"(3,300",0000933691,N-Q,10
CIT,CDX.HY-8 35-100%,0.48,0.4,06/20/2012,(963,0000933691,N-Q,10
CIT,CDX.HY-8 35-100%,0.48,0.36,06/20/2012,"(4,815",0000933691,N-Q,10
DUB,CDX.IG-10 30-100%,0.15,0.53,06/20/2013,"(1,350",0000933691,N-Q,10
GSI,CDX.IG-10 30-100%,0.15,0.46,06/20/2013,"(1,736",0000933691,N-Q,10
DUB,CDX.IG-9 30-100%,0.16,0.71,12/20/2012,"(7,137",0000933691,N-Q,10
GSI,CDX.IG-9 30-100%,0.39,0.55,12/20/2017,"(1,447",0000933691,N-Q,10
CIT,CDX.NA.HY.15,5.63,5.0,12/20/2015,"(2,000",0000933691,N-Q,10
JPM,CDX.NA.HY.15,1.07,5.0,12/20/2015,"(1,400",0000933691,N-Q,10
BOA,CDX.NA.IG.15,1.07,1.0,12/20/2015,"(15,000",0000933691,N-Q,10
CIT,CDX.NA.IG.15,1.07,1.0,12/20/2015,"(10,200",0000933691,N-Q,10
DUB,CDX.NA.IG.15,1.07,1.0,12/20/2015,"(4,900",0000933691,N-Q,10
DUB,"Federated Republic of Brazil, 12.25%, 03/06/30",1.1,1.0,06/20/2015,"(2,000",0000933691,N-Q,10
DUB,"Federated Republic of Brazil, 12.25%, 03/06/30",1.1,1.0,06/20/2015,(500,0000933691,N-Q,10
JPM,"Federated Republic of Brazil, 12.25%, 03/06/30",1.13,1.0,09/20/2015,"(2,000",0000933691,N-Q,10
MLI,"Federated Republic of Brazil, 12.25%, 03/06/30",1.18,1.95,04/20/2016,(100,0000933691,N-Q,10
MSS,"Federated Republic of Brazil, 12.25%, 03/06/30",1.1,1.0,06/20/2015,(600,0000933691,N-Q,10
STA,"Federated Republic of Brazil, 12.25%, 03/06/30",1.13,1.0,09/20/2015,"(1,000",0000933691,N-Q,10
CIT,"General Electric Capital Corp., 5.63%, 09/15/17",1.11,5.0,06/20/2011,"(1,000",0000933691,N-Q,10
CIT,"General Electric Capital Corp., 5.63%, 09/15/17",1.64,4.33,12/20/2013,(800,0000933691,N-Q,10
