Counterparty,Reference Entity,Buy/Sell Protection+,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation/(Depreciation,  ),CIK,Reporting Type,Report Year
Deutsche Bank AG,SOFTBANK Corp. 1.750% due 03/31/2014,Sell,2.300,09/20/2007,JPY," 47,000",,0001047304,N-Q,06
Barclays Bank PLC,XL Capital Ltd. 6.5005 due 01/15/2012,Buy,(0.310,03/20/2012,100,0,,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",CNA Financial Corp.,Buy,(0.440,09/20/2011,100,0,,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",H.J. Heinz Corp.,Buy,(0.370,03/20/2012,100,0,,0001047304,N-Q,06
Citibank N.A.,Autozone Inc.,Buy,(0.680,12/20/2012,100,0,,0001047304,N-Q,06
JPMorgan Chase & Co.,CNA Financial Corp.,Buy,(0.440,09/20/2011,100,0,,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Sell,1.280,08/20/2011,"3,200",,,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Sell,1.350,08/20/2011,"2,300",11,,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Buy,(2.065,08/20/2016,"1,800",(4,,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Buy,(2.140,08/20/2016,"1,300",(10,,0001047304,N-Q,06
"Merrill Lynch & Co., Inc.",Russia Government,Sell,0.410,06/20/2007,400,,,0001047304,N-Q,06
"Merrill Lynch & Co., Inc.",Sabre Holdings Corp,Buy,(1.110,09/20/2011,300,0,,0001047304,N-Q,06
