Counterparty,Reference Entity,Buy/Sell Protection+,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,SOFTBANK Corp. 1.750% due 03/31/2014,Sell,2.300,09/20/2007,JPY," 300,000",0001047304,N-Q,06
Bank of America,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.750,12/20/2006,"1,500",16,0001047304,N-Q,06
Bank of America,Dow Jones CDX N.A. HY7 Index,Buy,(3.250,12/20/2011,"16,500",0,0001047304,N-Q,06
Barclays Bank PLC,"Domtar, Inc. 7.875% due 10/15/2011",Sell,1.500,09/20/2007,400,,0001047304,N-Q,06
Barclays Bank PLC,Brazilian Government International Bond,Sell,1.480,10/20/2011,"2,000",13,0001047304,N-Q,06
Citibank N.A.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,2.000,09/20/2007,"1,000",,0001047304,N-Q,06
Deutsche Bank AG,"Russia Government International Bond, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.440,06/20/2007,"2,500",,0001047304,N-Q,06
Deutsche Bank AG,Dow Jones CDX N.A. HY7 Index,Buy,(3.250,12/20/2011,"13,500",19,0001047304,N-Q,06
Goldman Sachs & Co.,"ArvinMeritor, Inc. 8.750% due 03/01/2012",Sell,2.400,03/20/2007,700,,0001047304,N-Q,06
Goldman Sachs & Co.,Host Marriott LP 7.125% due 11/01/2013,Sell,1.770,12/20/2010,500,12,0001047304,N-Q,06
JPMorgan Chase & Co.,Lear Corp. 8.110% due 05/15/2009,Sell,7.750,03/20/2007,"1,400",40,0001047304,N-Q,06
JPMorgan Chase & Co.,"Abitibi-Consolidated, Inc. 8.375% due 04/01/2015",Sell,1.500,06/20/2007,500,0,0001047304,N-Q,06
"Lehman Brothers, Inc.","Primedia, Inc. 8.875% due 05/15/2011",Sell,2.500,03/20/2007,"1,000",(1,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Sell,1.370,08/20/2011,"5,400",30,0001047304,N-Q,06
"Lehman Brothers, Inc.",Brazilian Government International Bond,Buy,(2.160,08/20/2016,"3,000",(28,0001047304,N-Q,06
"Merrill Lynch & Co., Inc.",AES Corp. 8.750% due 06/15/2008,Sell,0.950,06/20/2007,"1,300",,0001047304,N-Q,06
"Merrill Lynch & Co., Inc.",AES Corp. 8.750% due 06/15/2008,Sell,0.950,06/20/2007,700,,0001047304,N-Q,06
Morgan Stanley,"Qwest Capital Funding, Inc. 7.250% due 02/15/2011",Sell,1.800,06/20/2010,"2,000",,0001047304,N-Q,06
Morgan Stanley,Multiple Reference Entities of Gazprom,Sell,1.050,04/20/2011,"3,000",24,0001047304,N-Q,06
Morgan Stanley,Brazilian Government International Bond,Sell,1.380,08/20/2011,"5,400",32,0001047304,N-Q,06
Morgan Stanley,Brazilian Government International Bond,Buy,(2.180,08/20/2016,"3,000",(32,0001047304,N-Q,06
