Counterparty,Reference Entity/Obligation,"Buy/Sell
  Protection","(Pay)/Receive
  Fixed Rate (%)","Termination
  Date","Notional
  Amount","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
Barclays Bank PLC,"Alcoa Inc. 5.375%,
  01/15/13",Buy,(0.390),09/20/12,"2,396,000","6,950",0001066602,N-Q,08
"Citibank N.A., New York","Alcoa Inc. 5.375%,
  01/15/13",Buy,(0.570),12/20/17,"5,910,000","30,424",0001066602,N-Q,08
"JPMorgan Chase Bank
  N.A., New York","Alcoa Inc. 5.375%,
  01/15/13",Buy,(0.430),09/20/12,"1,296,000","1,533",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Alcoa Inc. 5.375%,
  01/15/13",Buy,(0.400),09/20/12,"2,592,000","6,405",0001066602,N-Q,08
UBS AG,"Australia and New
  Zealand Banking Group 4.450%, 02/05/15",Buy,(0.350),09/20/17,"2,135,000","10,574",0001066602,N-Q,08
UBS AG,"Australia and New
  Zealand Banking Group 4.450%, 02/05/15",Buy,(0.510),09/20/17,"1,972,000","30,481",0001066602,N-Q,08
"Citibank N.A., New York","Bank of Scotland 5.125%,
  12/05/13",Buy,(0.320),09/20/17,"2,744,000","133,341",0001066602,N-Q,08
"Citibank N.A., New York","Bank of Scotland 5.125%,
  12/05/13",Buy,(0.660),09/20/17,"2,781,000","63,168",0001066602,N-Q,08
"Citibank N.A., New York","Bank of Scotland 5.125%,
  12/05/13",Buy,(0.650),09/20/17,"1,294,000","30,377",0001066602,N-Q,08
UBS AG,"Bank of Scotland 5.125%,
  12/05/13",Buy,(0.410),09/20/17,"2,135,000","89,122",0001066602,N-Q,08
Merrill Lynch International,"Belo Corp. 7.750%,
  06/01/27",Buy,(2.050),12/20/17,"2,374,000","62,663",0001066602,N-Q,08
"Citibank N.A., New York","Belo Corp. 8.000%,
  11/01/08",Buy,(0.930),09/20/12,"1,436,000","59,143",0001066602,N-Q,08
"Citibank N.A., New York","Belo Corp. 8.000%,
  11/01/08",Buy,(1.400),09/20/14,"1,438,000","62,419",0001066602,N-Q,08
"Citibank N.A., New York","BNP Paribas 5.250%,
  12/17/12",Buy,(0.250),09/20/17,"2,744,000","44,938",0001066602,N-Q,08
"Citibank N.A., New York","BNP Paribas 5.250%,
  12/17/12",Buy,(0.520),09/20/17,"574,000","(2,724)",0001066602,N-Q,08
"Citibank N.A., New York","BNP Paribas 5.250%,
  12/17/12",Buy,(0.520),09/20/17,"1,294,000","(6,141)",0001066602,N-Q,08
"Citibank N.A., New York",CDX.EM.6 Index,Buy,(1.400),12/20/11,"3,865,000","73,794",0001066602,N-Q,08
"Citibank N.A., New York",CDX.EM.7 Index,Buy,(1.250),06/20/12,"7,364,000","(117,251)",0001066602,N-Q,08
"Citibank N.A., New York",CDX.EM.7 Index,Buy,(1.250),06/20/12,"7,399,000","(183,381)",0001066602,N-Q,08
"Citibank N.A., New York",CDX.EM.7 Index,Buy,(1.250),06/20/12,"1,868,000","(6,067)",0001066602,N-Q,08
UBS AG,CDX.EM.7 Index,Buy,(1.250),06/20/12,"5,989,000","(139,682)",0001066602,N-Q,08
UBS AG,CDX.EM.7 Index,Buy,(1.250),06/20/12,"4,559,000","(30,724)",0001066602,N-Q,08
UBS AG,CDX.EM.7 Index,Buy,(1.250),06/20/12,"5,882,480","(125,416)",0001066602,N-Q,08
UBS AG,CDX.EM.7 Index,Buy,(1.250),06/20/12,"4,692,000","(15,366)",0001066602,N-Q,08
UBS AG,CDX.NA.HY.8 Index,Buy,(2.750),06/20/12,"5,711,000","(1,048)",0001066602,N-Q,08
UBS AG,CDX.NA.HY.8 Index,Sell,2.750,06/20/12,"5,606,000","123,016",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","CDX.NA.HY.8 Index
  (15-25% Tranche)",Buy,(4.750),06/20/12,"7,594,000","224,539",0001066602,N-Q,08
"Citibank N.A., New York",CDX.NA.HY.9 Index,Buy,(3.750),12/20/12,"9,683,000","334,476",0001066602,N-Q,08
UBS AG,CDX.NA.HY.9 Index,Buy,(3.750),12/20/12,"8,385,000","103,746",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","CDX.NA.HY.9 Index
  (15-25% Tranche)",Sell,7.050,12/20/12,"3,797,000","(23,238)",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","CDX.NA.HY.9 Index
  (15-25% Tranche)",Sell,6.500,12/20/12,"4,666,000","(133,261)",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","CDX.NA.HY.9 Index
  (35-60% Tranche)",Sell,1.950,12/20/12,"4,666,000","(213,031)",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","CDX.NA.HY.9 Index
  (35-60% Tranche)",Sell,2.600,12/20/12,"8,717,000","(149,244)",0001066602,N-Q,08
"Citibank N.A., New York",CDX.NA.IG.9 Index,Buy,(0.600),12/20/12,"2,959,000","5,323",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.",CDX.NA.IG.9 Index,Buy,(0.600),12/20/12,"9,073,000","25,394",0001066602,N-Q,08
"Goldman Sachs
  International",CDX.NA.IG.HVOL.9 Index,Buy,(1.400),12/20/12,"25,405,000","97,695",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.",CDX.NA.IG.HVOL.9 Index,Buy,(1.400),12/20/12,"25,923,000","97,670",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.",CDX.NA.IG.HVOL.9 Index,Buy,(1.400),12/20/12,"25,923,000","99,562",0001066602,N-Q,08
"Citibank N.A., New York","Centurytel Inc. 7.875%,
  08/15/12",Buy,(0.730),09/20/12,"3,525,000","(27,385)",0001066602,N-Q,08
"Citibank N.A., New York","Centurytel Inc. 7.875%,
  08/15/12",Buy,(0.720),09/20/12,"570,000","(4,184)",0001066602,N-Q,08
"Merrill Lynch
  International","Centurytel Inc. 7.875%,
  08/15/12",Buy,(0.740),09/20/12,"1,342,000","(11,001)",0001066602,N-Q,08
"Citibank N.A., New York","CMS Energy Corp. 6.875%,
  12/15/15",Sell,0.820,03/20/12,"600,000","(8,296)",0001066602,N-Q,08
"Merrill Lynch
  International","CMS Energy Corp. 6.875%,
  12/15/15",Sell,0.840,03/20/12,"3,000,000","(39,193)",0001066602,N-Q,08
