Counterparty,Termination Date,Notional,Fixed Rate,Underlying Bond,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Morgan Stanley & Co. (1),12/20/2008,200,0.26,"Allstate Corp., 6.125%,due 02/15/12",(919,0001067442,N-Q,06
UBS AG(1),12/20/2008,200,0.35,"AutoZone, Inc., 5.875%,due 10/15/12",(939,0001067442,N-Q,06
Bear Stearns International Ltd. (1),7/25/2045,"2,200",0.54,Dow Jones CDX IG4 Index,"(5,971",0001067442,N-Q,06
Goldman Sachs (1),7/25/2045,600,0.54,Dow Jones CDX IG4 Index,"(1,628",0001067442,N-Q,06
Bank of America SecuritiesLLC (1),12/20/2008,100,0.13,"E.I. DuPont, 6.875%,due 10/15/09",(168,0001067442,N-Q,06
Citigroup (1),12/20/2008,100,0.28,"Eaton Corp., 5.75%,due 07/15/12",(441,0001067442,N-Q,06
Barclays Bank PLC (1),12/20/2008,200,0.16,"Eli Lilly & Co., 6.00%,due 03/15/12",(569,0001067442,N-Q,06
Morgan Stanley & Co. (1),12/20/2008,100,0.21,"Emerson Electric Co.,6.48%,due 10/15/12",(331,0001067442,N-Q,06
Citigroup (1),12/20/2008,100,0.29,"FedEx Corp., 7.25%,due 02/15/11",(524,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.97,"Goodrich Corp., 7.625%,due 12/15/12","(1,993",0001067442,N-Q,06
Bear Stearns InternationalLtd. (1),12/20/2008,100,0.32,"Hewlett Packard Co., 6.50%due 07/01/12",(609,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.12,"Home Depot, Inc., 5.375%,due 04/01/06",(116,0001067442,N-Q,06
Merrill Lynch & Co. (1),12/20/2008,100,0.32,"Ingersoll-Rand Co., 6.48%,due 06/01/25",(568,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.11,"Johnson & Johnson, 3.80%,due 05/15/13",(218,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.53,"Lockheed Martin Corp., 8.20%,due 12/01/09","(1,042",0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.3,"Masco Corp., 5.875%,due 07/15/12",(331,0001067442,N-Q,06
Duesche Bank (1),9/20/2011,200,0.62,"Nationwide Health, 6.50%,due 07/15/11",(33,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.48,"Northrop & Grumman Corp., 7.125%,due 02/15/11",(913,0001067442,N-Q,06
Morgan Stanley & Co. (1),6/20/2016,300,0.39,"Omnicom 5.90%,due 04/15/16",209,0001067442,N-Q,06
Lehman Brothers (1),6/20/2009,500,0.4,"People s Republic of China, 6.80%,due 05/23/11","(3,870",0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.35,"RadioShack Corp., 7.375%,due 05/15/11",466,0001067442,N-Q,06
Morgan Stanley & Co. (1),5/20/2016,"1,200",0.54,"Republic of Hungary, 4.75%,due 02/03/15","(8,164",0001067442,N-Q,06
JPMorgan Chase Bank (1),5/20/2016,300,0.54,"Republic of Hungary, 4.75%,due 02/03/15","(2,159",0001067442,N-Q,06
Morgan Stanley & Co. (1),9/20/2010,300,2.7,"Republic of Turkey, 11.875%,due 01/15/30","(14,015",0001067442,N-Q,06
Merrill Lynch & Co. (2),3/20/2007,400,0.61,"Russian Federation, 2.25%,due 03/31/30",920,0001067442,N-Q,06
Citigroup (1),12/20/2008,300,0.14,"Wal-mart Stores, Inc., 6.875%,due 08/10/09",(723,0001067442,N-Q,06
Barclays Bank PLC (1),12/20/2008,100,0.67,"Walt Disney Co. (The), 6.375%,due 03/12/12","(1,344",0001067442,N-Q,06
Bear Stearns InternationalLtd. (1),6/20/2016,200,0.63,"Whirlpool Corp., 6.50%,due 06/15/16",(201,0001067442,N-Q,06
Lehman Brothers (1),12/20/2008,100,0.29,"Whirlpool Corp., 8.60%,due 05/01/10",(421,0001067442,N-Q,06
Barclays Bank PLC (1),3/20/2012,100,0.21,"XL Capital , Ltd., 6.50%,due 01/15/12",(25,0001067442,N-Q,06
