Swap   Counterparty,Referenced Obligation,Receive   Buy/Sell   Protection,Fixed Rate,Expiration Date,Notional   Amount,Upfront Premium   Paid (Received),Value of Contract,CIK,Reporting Type,Report Year
Barclays Capital ,"Textron, Inc.",Buy,1.0,03/20/15,"3,000,000","95,390","(44,569",0001097519,N-Q,11
Barclays Capital ,"D.R.   Horton, Inc.",Buy,1.0,03/20/15,"6,000,000","261,866","95,166",0001097519,N-Q,11
Barclays Capital ,"Toll Brothers, Inc.      5.150% 05/15/15",Buy,1.0,12/20/15,"9,705,000","523,182","(196,575",0001097519,N-Q,11
Barclays Capital ,"The Home   Depot, Inc.    5.875% 12/16/36",Buy,1.0,12/20/15,"5,500,000","(92,838","(45,640",0001097519,N-Q,11
Barclays Capital ,"Macy s, Inc.      7.450% 07/15/17",Buy,1.0,12/20/15,"300,000","11,246","(5,986",0001097519,N-Q,11
BNP Paribas ,"Marriott   International, Inc.",Buy,1.0,12/20/15,"4,115,000","(19,650","(26,097",0001097519,N-Q,11
Credit Suisse First Boston ,"Textron, Inc.",Buy,1.0,03/20/15,"3,280,000","111,555","(54,813",0001097519,N-Q,11
Credit Suisse First Boston ,Morgan Stanley,Buy,1.0,06/20/15,"8,050,000","692,955","(403,666",0001097519,N-Q,11
JPMorgan ,"D.R.   Horton, Inc.",Buy,1.0,03/20/15,"5,800,000","253,112","91,899",0001097519,N-Q,11
JPMorgan ,"Macy s, Inc.      7.450% 07/15/17",Buy,1.0,12/20/15,"8,000,000","303,789","(163,065",0001097519,N-Q,11
Morgan Stanley ,"Limited   Brands, Inc.",Buy,1.0,03/20/15,"5,700,000","268,715","(135,624",0001097519,N-Q,11
Morgan Stanley ,"The Home   Depot, Inc.    5.875% 12/16/36",Buy,1.0,12/20/15,"2,735,000","(62,405","(6,820",0001097519,N-Q,11
