"
Counterparty
","
Reference Entity
","
Protection
","
Fixed Rate
","
Date
","
Notional Amount
",CIK,Reporting Type,Report Year
"
BNP Paribas S.A.
","
Alcoa, Inc.
","
Buy
",(1.00,"
Mar 20 2019
",3500000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
International Paper Co.
","
Buy
",(1.00,"
Sep 20 2018
",4000000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Markit CDX.HY.23 (a)
","
Buy
",(5.00,"
Dec 20 2019
",2910000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Markit CDX.NA.HY.24 (a)
","
Buy
",(5.00,"
Jun 20 2020
",9900000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Markit CDX.NA.HY.25 (a)
","
Buy
",(5.00,"
Dec 20 2020
",1000000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Markit CMBX.NA.BB.6 (b)
","
Buy
",(5.00,"
May 11 2063
",5000000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Markit CMBX.NA.BB.67 (b)
","
Buy
",(5.00,"
Jan 17 2047
",5000000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Nucor Corp.
","
Buy
",(1.00,"
Mar 20 2019
",3000000,0001171324,N-Q,15
"
BNP Paribas S.A.
","
Stanley Black & Decker, Inc.
","
Buy
",(1.00,"
Dec 20 2018
",3000000,0001171324,N-Q,15
"
Credit Suisse
","
Best Buy, Inc.
","
Buy
",(5.00,"
Jun 20 2019
",3000000,0001171324,N-Q,15
"
Credit Suisse
","
Darden Restaurants, Inc.
","
Buy
",(1.00,"
Sep 20 2020
",2000000,0001171324,N-Q,15
"
Credit Suisse
","
Expedia, Inc.
","
Buy
",(1.00,"
Dec 20 2019
",3500000,0001171324,N-Q,15
"
Credit Suisse
","
Staples, Inc.
","
Buy
",(1.00,"
Jun 20 2019
",5000000,0001171324,N-Q,15
"
Credit Suisse
","
The Walt Disney Co.
","
Buy
",(1.00,"
Sep 20 2018
",3000000,0001171324,N-Q,15
"
Credit Suisse
","
Xerox Corp.
","
Buy
",(1.00,"
Dec 20 2019
",3000000,0001171324,N-Q,15
"
Goldman Sachs & Co.
","
Capital One Financial Corp.
","
Buy
",(1.00,"
Dec 20 2016
",2000000,0001171324,N-Q,15
"
Goldman Sachs & Co.
","
H&R Block, Inc.
","
Buy
",(5.00,"
Jun 20 2018
",2000000,0001171324,N-Q,15
"
Goldman Sachs & Co.
","
Kimco Realty Corp.
","
Buy
",(1.00,"
Jun 20 2016
",2250000,0001171324,N-Q,15
"
Goldman Sachs & Co.
","
Mohawk Industries, Inc.
","
Buy
",(1.00,"
Jun 20 2017
",2000000,0001171324,N-Q,15
"
Goldman Sachs & Co.
","
YUM! Brands, Inc.
","
Buy
",(1.00,"
Mar 20 2018
",3000000,0001171324,N-Q,15
"
Morgan Stanley & Co., Inc.
","
Avon Products, Inc.
","
Buy
",(5.00,"
Sep 20 2020
",1000000,0001171324,N-Q,15
"
Morgan Stanley & Co., Inc.
","
J.C. Penney Co., Inc.
","
Buy
",(5.00,"
Sep 20 2020
",1000000,0001171324,N-Q,15
"
Credit Suisse
","
MGM Holdings, Inc.
","
Buy
",5,"
Jun 20 2018
",1500000,0001171324,N-Q,15
